x,y,z,time
-1,13,112,1422938425
-1,13,112,1422938425
-1,13,112,1422938425
-2,12,112,1422938425
-1,12,112,1422938425
-1,12,112,1422938425
-1,13,112,1422938425
0,13,112,1422938425
0,13,111,1422938425
0,13,112,1422938425
0,13,112,1422938425
0,13,111,1422938425
0,13,113,1422938426
1,13,113,1422938426
-1,12,109,1422938426
0,11,111,1422938426
-2,14,115,1422938426
-2,14,109,1422938426
-2,13,112,1422938426
-1,11,111,1422938426
-1,11,112,1422938426
-1,12,112,1422938426
-2,16,110,1422938426
-1,14,112,1422938426
0,12,113,1422938426
-1,12,112,1422938426
0,12,111,1422938426
0,12,112,1422938426
0,13,112,1422938426
-1,15,112,1422938426
0,12,112,1422938426
0,11,112,1422938426
-1,12,113,1422938426
0,11,111,1422938426
-2,14,113,1422938426
-2,14,110,1422938426
-2,14,111,1422938426
-1,12,112,1422938426
-1,11,112,1422938426
0,12,111,1422938426
0,12,111,1422938426
0,14,111,1422938426
-1,15,112,1422938426
0,12,111,1422938426
0,10,112,1422938426
0,12,112,1422938426
0,12,111,1422938426
-1,15,111,1422938426
-1,14,112,1422938426
-2,15,112,1422938426
-1,11,112,1422938426
-1,10,112,1422938426
-2,14,111,1422938426
0,13,113,1422938426
-1,14,112,1422938426
-1,15,111,1422938426
0,13,112,1422938426
0,12,111,1422938426
0,11,111,1422938426
0,13,112,1422938426
0,12,112,1422938426
0,14,110,1422938426
-1,13,111,1422938426
-1,11,111,1422938426
-1,12,112,1422938426
-1,12,111,1422938426
-1,13,111,1422938426
-1,13,113,1422938426
-1,13,112,1422938426
-1,12,112,1422938426
0,12,112,1422938426
0,13,112,1422938426
0,12,112,1422938426
-1,14,112,1422938426
0,13,111,1422938426
0,12,112,1422938426
0,12,112,1422938426
0,13,111,1422938426
-1,13,112,1422938426
-1,14,112,1422938426
-1,13,112,1422938426
-1,12,112,1422938426
-1,12,111,1422938426
0,12,110,1422938426
-1,12,111,1422938426
0,13,111,1422938426
0,13,112,1422938426
0,12,112,1422938426
0,12,111,1422938426
0,13,112,1422938426
-1,13,112,1422938426
-2,14,112,1422938426
-1,13,111,1422938426
0,12,112,1422938426
-1,12,112,1422938426
-1,13,112,1422938426
-1,13,112,1422938426
0,13,111,1422938426
0,12,111,1422938426
0,12,112,1422938426
-1,12,111,1422938426
0,13,112,1422938426
0,13,111,1422938426
-1,14,112,1422938426
0,12,112,1422938426
0,12,112,1422938427
-1,13,112,1422938427
-1,13,112,1422938427
-1,13,111,1422938427
-1,13,111,1422938427
-1,12,111,1422938427
-1,13,112,1422938427
-1,13,112,1422938427
-1,13,111,1422938427
-1,13,113,1422938427
-1,13,111,1422938427
0,13,111,1422938427
-1,13,112,1422938427
-1,13,111,1422938427
0,13,112,1422938427
-1,13,112,1422938427
-1,13,112,1422938427
-1,12,111,1422938427
-1,12,111,1422938427
0,13,111,1422938427
-1,13,111,1422938427
0,13,111,1422938427
0,13,112,1422938427
0,13,111,1422938427
0,13,112,1422938427
0,13,112,1422938427
0,13,112,1422938427
-1,13,112,1422938427
-1,12,112,1422938427
-2,12,111,1422938427
-1,13,112,1422938427
-2,13,112,1422938427
-1,13,112,1422938427
-1,12,112,1422938427
-1,12,111,1422938427
-1,13,111,1422938427
0,13,111,1422938427
0,13,112,1422938427
0,13,112,1422938427
0,13,111,1422938427
0,13,111,1422938427
-1,13,112,1422938427
0,13,112,1422938427
-1,13,112,1422938427
-1,12,112,1422938427
-2,12,111,1422938427
-2,12,112,1422938427
-2,12,112,1422938427
-1,13,111,1422938427
-1,13,112,1422938427
-1,13,111,1422938427
0,13,111,1422938427
0,13,112,1422938427
0,13,111,1422938427
0,13,112,1422938427
0,13,111,1422938427
-1,13,112,1422938427
0,12,112,1422938427
-1,13,111,1422938427
-1,13,112,1422938427
-1,12,111,1422938427
-2,12,112,1422938427
-2,13,111,1422938427
-1,12,111,1422938427
-1,13,112,1422938427
-1,13,111,1422938427
0,13,112,1422938427
0,13,111,1422938427
0,13,111,1422938427
0,13,111,1422938427
